asset_id,taxonomy,lon,lat,structural~no_damage_mean,structural~no_damage_stdv,structural~slight_mean,structural~slight_stdv,structural~moderate_mean,structural~moderate_stdv,structural~extensive_mean,structural~extensive_stdv,structural~complete_mean,structural~complete_stdv
"1","GOV1-C1M-MC",-123.11399,49.26088,4.540000E-01,4.983781E-01,2.980000E-01,4.578376E-01,1.540000E-01,3.613102E-01,4.000000E-02,1.961554E-01,5.400000E-02,2.262441E-01
"2","RES1-W1-PC",-123.10817,49.25903,5.680000E-01,4.958505E-01,3.480000E-01,4.768131E-01,6.800000E-02,2.519980E-01,1.000000E-02,9.959839E-02,6.000000E-03,7.730428E-02
